timestamp;latitude;longitude;altitude;horizontalAccuracy;verticalAccuracy;speed;course
2018-03-13 21:19:58 +0000;40.702599;-73.984630;26.938873;25.000000;25.000000;6.336000;177.187500
2018-03-13 21:19:59 +0000;40.702582;-73.984621;26.560181;10.000000;10.000000;6.336000;162.773438
2018-03-13 21:20:04 +0000;40.702497;-73.984574;25.635986;25.000000;25.000000;4.860000;172.265625
2018-03-13 21:20:10 +0000;40.702398;-73.984541;27.224548;25.000000;25.000000;3.888000;144.140625
2018-03-13 21:20:13 +0000;40.702361;-73.984528;27.210815;10.000000;10.000000;4.644000;142.734375
2018-03-13 21:20:23 +0000;40.702330;-73.984416;26.706848;25.000000;25.000000;6.552000;82.968750
2018-03-13 21:20:30 +0000;40.702397;-73.984333;25.481598;25.000000;25.000000;7.020000;85.429688
2018-03-13 21:20:40 +0000;40.702416;-73.984214;25.761963;25.000000;25.000000;5.076000;102.304688
2018-03-13 21:20:44 +0000;40.702374;-73.984167;25.305969;10.000000;10.000000;0.000000;113.203125
2018-03-13 23:50:12 +0000;40.736822;-73.986770;28.897570;65.000000;65.000000;-3.600000;-1.000000
2018-03-13 23:53:05 +0000;40.736835;-73.986782;29.551434;65.000000;65.000000;-3.600000;-1.000000
2018-03-13 23:53:20 +0000;40.736857;-73.986777;32.048218;30.000000;30.000000;1.944000;-1.000000
2018-03-13 23:53:23 +0000;40.737052;-73.987010;34.211945;10.000000;10.000000;2.772000;298.476562
2018-03-13 23:53:26 +0000;40.737018;-73.987186;38.122650;36.105628;36.105628;12.312000;283.359375
2018-03-13 23:53:30 +0000;40.736952;-73.987288;41.697601;30.000000;30.000000;6.696000;242.929688
2018-03-13 23:53:33 +0000;40.736870;-73.987415;46.247253;37.470129;37.470129;9.504000;218.671875
2018-03-13 23:53:35 +0000;40.737178;-73.987120;46.700317;30.000000;30.000000;4.572000;10.195312
2018-03-13 23:53:45 +0000;40.737106;-73.987039;45.445343;44.284129;44.284129;0.900000;85.429688
2018-03-13 23:53:51 +0000;40.737007;-73.987032;47.150970;34.769042;34.769042;0.972000;267.890625
2018-03-13 23:53:58 +0000;40.736945;-73.986936;37.755249;38.513624;38.513624;3.996000;8.789062
2018-03-13 23:54:05 +0000;40.736862;-73.986870;38.113312;30.000000;30.000000;2.520000;118.476562
2018-03-13 23:54:13 +0000;40.736819;-73.986758;36.694733;30.000000;30.000000;4.572000;99.140625
2018-03-13 23:54:19 +0000;40.736815;-73.986638;37.337891;100.000000;100.000000;-3.600000;-1.000000
2018-03-13 23:54:28 +0000;40.736802;-73.986514;37.181404;201.686799;201.686799;1.230435;-1.000000
2018-03-13 23:54:40 +0000;40.736847;-73.986726;30.170750;65.000000;65.000000;-3.600000;-1.000000
2018-03-13 23:54:46 +0000;40.736855;-73.986745;32.010956;30.000000;30.000000;1.008000;287.226562
2018-03-13 23:54:51 +0000;40.736860;-73.986868;30.049530;25.000000;25.000000;2.736000;292.148438
2018-03-13 23:55:10 +0000;40.736952;-73.986880;33.041382;25.000000;25.000000;1.836000;341.015625
2018-03-13 23:55:16 +0000;40.736964;-73.986787;29.201080;10.000000;10.000000;1.836000;145.898438
2018-03-13 23:55:22 +0000;40.736924;-73.986669;19.530518;25.000000;25.000000;3.960000;122.343750
2018-03-13 23:55:28 +0000;40.736854;-73.986578;23.539886;25.000000;25.000000;3.888000;155.390625
2018-03-13 23:55:33 +0000;40.736823;-73.986440;19.119720;25.000000;25.000000;4.824000;118.125000
2018-03-13 23:55:38 +0000;40.736798;-73.986316;21.740570;25.000000;25.000000;4.104000;111.445312
2018-03-13 23:55:42 +0000;40.736813;-73.986196;17.955200;25.000000;25.000000;4.464000;109.335938
2018-03-13 23:55:47 +0000;40.736810;-73.986076;16.630432;25.000000;25.000000;4.392000;124.804688
2018-03-13 23:55:53 +0000;40.736808;-73.985957;17.216644;25.000000;25.000000;4.572000;164.531250
2018-03-13 23:56:02 +0000;40.736833;-73.985830;17.221008;25.000000;25.000000;2.412000;160.664062
2018-03-13 23:56:12 +0000;40.736814;-73.985711;17.283081;25.000000;25.000000;2.412000;130.078125
2018-03-13 23:56:23 +0000;40.736779;-73.985595;17.113708;25.000000;25.000000;2.268000;129.726562
2018-03-13 23:56:31 +0000;40.736734;-73.985487;15.665649;25.000000;25.000000;4.428000;118.828125
2018-03-13 23:56:38 +0000;40.736664;-73.985409;18.353546;25.000000;25.000000;4.320000;124.804688
2018-03-13 23:56:47 +0000;40.736658;-73.985284;18.213348;25.000000;25.000000;3.780000;101.953125
2018-03-13 23:56:56 +0000;40.736604;-73.985171;18.595428;25.000000;25.000000;4.644000;119.882812
